lat,lon,amenity,name
49.227632,-123.090596,bus_station,Southbound Fraser St @ E 47 Ave
49.229442,-123.090556,bus_station,Southbound Fraser St @ E 45 Ave
49.231265,-123.0905,bus_station,Southbound Fraser St @ E 43 Ave
49.233627,-123.090406,bus_station,Southbound Fraser St @ E 41 Ave
49.328615,-123.054317,bus_station,Southbound Boulevard Cres @ Sutherland Ave
49.333907,-123.044317,bus_station,Westbound Lynn Valley Rd @ Fromme Rd
49.331956,-123.048003,bus_station,Westbound Lynn Valley Rd @ Mollie Nye Way
49.330747,-123.050277,bus_station,Westbound Lynn Valley Rd @ William Ave
49.328615,-123.054317,bus_station,Southbound Boulevard Cres @ Sutherland Ave
49.325776,-123.056353,bus_station,Southbound Grand Blvd East @ E 19 St
49.323724,-123.056406,bus_station,Southbound Grand Blvd East @ E 17 St
49.322113,-123.056272,bus_station,Westbound E 15 St @ Grand Blvd East
49.321997,-123.060368,bus_station,Westbound E 15 St @ Moody Ave
49.322028,-123.063435,bus_station,Westbound E 15 St @ Ridgeway Ave
49.322067,-123.066512,bus_station,Westbound E 15 St @ St. Andrews Ave
49.322138,-123.072934,bus_station,Westbound W 15 St @ Lonsdale Ave
49.322167,-123.075947,bus_station,Westbound W 15 St @ Chesterfield Ave
49.322197,-123.079052,bus_station,Westbound W 15 St @ Mahon Ave
49.321847,-123.081783,bus_station,Southbound Jones Ave @ W 15 St
49.320339,-123.081636,bus_station,Southbound Jones Ave @ W Keith Rd
49.320182,-123.085235,bus_station,Westbound W Keith Rd @ Forbes Ave
49.3199,-123.087019,bus_station,Westbound W Keith Rd @ Delbruck Ave
49.320065,-123.091862,bus_station,Westbound Marine Dr @ Bewicke Ave
49.321749,-123.09659,bus_station,Westbound Marine Dr @ Fell Ave
49.322589,-123.099039,bus_station,Westbound Marine Dr @ Hanes Ave
49.323076,-123.0996,bus_station,Westbound Marine Dr @ Hamilton Ave
49.323913,-123.103303,bus_station,Westbound Marine Dr @ Mackay Ave
49.32375,-123.105298,bus_station,Westbound Marine Dr @ Lloyd Ave
49.323956,-123.108455,bus_station,Westbound Marine Dr @ Pemberton Ave
49.323979,-123.11116,bus_station,Westbound Marine Dr @ Bridgman Ave
49.323999,-123.11389,bus_station,Westbound Marine Dr @ Philip Ave
49.324013,-123.116614,bus_station,Westbound Marine Dr @ Bowser Ave
49.324043,-123.120746,bus_station,Westbound Marine Dr @ McGuire Ave
49.324577,-123.122926,bus_station,Westbound Marine Dr @ Capilano Rd
